,Year Drafted,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,target
36,2013,37,8.6,2.1,0.9,2.5,36.3,0.1,0.6,19.0,0.2,0.3,66.7,0.6,1.0,1.5,0.3,0.2,0.0,0.4,2.1,1
37,2013,42,8.6,2.0,0.8,1.9,42.3,0.0,0.0,0.0,0.5,0.7,64.5,0.9,1.4,2.4,0.1,0.1,0.4,0.6,3.1,1
38,2013,28,8.1,1.7,0.6,1.4,42.5,0.3,0.8,30.4,0.2,0.3,85.7,0.3,1.1,1.5,0.4,0.2,0.1,0.5,2.5,1
39,2013,37,7.8,3.9,1.5,3.4,46.0,0.1,0.3,27.3,0.7,1.1,65.0,0.6,0.8,1.4,0.2,0.2,0.0,0.4,3.1,1
40,2013,51,7.3,2.7,1.1,2.5,43.4,0.1,0.2,41.7,0.5,0.8,59.0,0.3,0.6,0.9,1.0,0.4,0.0,0.7,2.5,0
41,2013,34,7.0,2.4,1.0,2.9,35.1,0.2,1.1,17.9,0.2,0.3,80.0,0.4,0.9,1.4,0.3,0.2,0.0,0.3,2.1,0
42,2013,31,6.4,2.3,0.7,2.0,35.5,0.3,1.0,29.0,0.6,0.8,75.0,0.4,0.8,1.2,0.3,0.1,0.1,0.2,2.3,0
43,2013,24,5.9,1.1,0.3,1.6,20.5,0.1,0.8,16.7,0.3,0.3,87.5,0.1,0.5,0.6,0.5,0.0,0.0,0.5,0.4,0
44,2012,82,38.6,19.0,6.7,15.7,42.9,2.3,6.1,36.8,3.3,3.9,84.4,0.5,2.6,3.1,6.5,0.9,0.2,3.0,17.3,1
45,2012,56,31.2,13.9,5.0,12.3,41.0,1.6,4.2,38.6,2.2,2.8,78.6,0.8,3.0,3.8,2.4,0.9,0.5,1.6,12.1,1
46,2012,64,28.8,13.5,5.5,10.6,51.6,0.0,0.1,0.0,2.6,3.5,75.1,2.6,5.6,8.2,1.0,1.2,1.8,1.4,18.2,1
47,2012,61,28.8,14.7,5.5,13.4,41.2,1.0,3.3,31.0,2.6,3.5,74.6,0.4,2.1,2.4,3.0,1.0,0.3,2.0,10.6,1
48,2012,82,28.0,8.8,3.4,7.8,42.8,0.9,2.4,35.0,1.2,1.5,80.6,1.3,2.7,4.0,0.9,0.7,0.5,1.2,8.9,1
49,2012,77,26.4,7.9,3.2,7.3,43.8,0.0,0.1,0.0,1.6,2.0,76.4,2.1,3.6,5.7,1.2,0.5,0.9,1.2,10.4,0
50,2012,76,26.0,8.2,3.4,7.4,46.1,0.4,1.5,27.4,1.0,1.7,57.0,1.6,2.8,4.4,0.7,1.2,0.8,0.9,9.6,1
51,2012,78,26.0,9.0,3.6,7.9,45.8,0.0,0.1,22.2,1.8,2.4,74.9,1.7,4.2,5.8,1.5,0.7,0.9,1.3,11.8,1
52,2012,81,25.4,9.2,3.4,7.8,43.9,0.6,1.8,35.9,1.8,2.3,75.8,0.7,3.5,4.1,1.2,0.6,0.2,1.3,9.2,1
53,2012,62,23.9,8.9,3.3,5.9,55.7,0.0,0.0,0.0,2.4,3.0,78.9,2.0,4.0,6.0,0.7,0.3,1.3,1.5,12.4,0
54,2012,77,23.9,8.6,3.1,8.2,37.2,1.1,3.7,29.5,1.4,1.9,72.0,0.5,1.7,2.3,3.7,0.7,0.3,1.9,8.0,0
55,2012,61,23.2,6.2,2.4,6.4,37.2,0.5,1.4,32.6,1.0,1.8,54.6,0.3,1.5,1.8,2.1,0.4,0.1,1.2,4.6,1
56,2012,60,20.7,7.9,3.5,5.7,60.8,0.0,0.0,50.0,1.0,2.7,37.1,2.8,4.8,7.6,0.5,1.0,1.6,0.9,13.8,1
57,2012,45,19.8,6.0,2.5,5.0,49.3,0.0,0.1,20.0,1.0,1.4,74.6,2.0,3.8,5.9,0.8,0.5,0.5,0.6,10.1,1
58,2012,77,19.6,6.1,2.2,5.2,43.1,0.7,2.0,34.4,1.0,1.3,72.8,0.7,1.3,1.9,0.8,0.6,0.2,0.6,5.8,0
